,resort,on_mountain_venue_count
1,Schiwelt Wilder Kaiser - Brixental,62
2,Ötztaler Gletscher,61
3,Hahnenkamm - Ehrenbachhöhe,41
4,Komperdell,40
5,Silvretta Schiarena,35
6,Albonagrat - St. Anton,28
7,Schi Zell - Kreuzjochbahn,24
8,Hochzillertal - Kaltenbach - Aschau,21
9,Penken,21
10,"Choralm - Westendorf, Kandleralm - Brixen",19
11,Stubaier Gletscher,14
12,Streuböden - Fieberbrunn,13
13,Jochberg - Pass Thurn,11
14,Bergkastel - Tscheyeck - Nauders,11
15,Obergurgl,11
16,Spieljoch,9
17,Harschbichl - St. Johann i.T.,9
18,Birkhahn - Galtür,8
19,Axamer Lizum,8
20,Diasalpe - Kappl,8
21,Goldried - Matrei/Osttirol,8
22,Hochgurgl,7
23,Schlick 2000,7
24,Schatzberg - Wildschönau,7
25,Eggalm - Tux,6
26,Alpbach,6
27,Hochalm - Berwang - Bichlbach,6
28,Markbachjoch - Wildschönau,6
29,Kühtai,5
30,Neunerköpfle - Tannheim,5
31,Patscherkofel,5
32,Glungezer - Tulfes,5
33,Gschwandtkopf,5
34,Ahornbahn - Mayrhofen,5
35,Grubigstein - Lermoos,5
36,Kitzbühler Horn,5
37,Hintertuxer Gletscher,5
38,Serleslift - Mieders,4
39,Gerlossteinbahn,4
40,Glocknerblick - Kals,4
41,Ehrwalder Alm,4
42,Marienbergjoch,4
43,Rendl - St. Anton a.A.,4
44,Christlum - Achenkirch,4
45,Nordkette - Innsbruck,4
46,Buchensteinwand - St. Jakob / St. Ulrich,4
47,Rangger Köpfl - Oberperfuß,4
48,Rosshütte - Härmelekopf,3
49,Mutterer Alm,3
50,Gruberberg - Walchsee / Ebbs,3
51,Oberau - Wildschönau,3
52,Medrigjoch - See ,3
53,Zugspitzbahn - Sonnenlift,3
54,Hochimst,3
55,Füssener Jöchl - Schachenlifte,3
56,Gaisberg - Kirchberg,3
57,Reith i.A.,3
58,Hochpustertal,3
59,Golzentipp - Obertilliach,3
60,Brunnalm - St. Jakob in Defereggen,3
61,Zwölferkopf - Eben,3
62,Rifflsee - St. Leonhard ,3
63,Hochötz,3
64,Höfener Alm,3
65,Fendels,2
66,Hochzeiger - Jerzens,2
67,Rofan - Eben,2
68,Unterberghorn - Kössen,2
69,Jöchelspitze - Bach,2
70,Kreith-Katzenkopf - Leutasch,2
71,Bichlalm - Kitzbühel,1
72,Kellerjochbahn - Schwaz,1
73,Steinplatte - Waidring,1
74,Gföllberglift - Holzgau,1
75,Schneeberg - Thiersee,1
76,Hausstattlift - Weerberg,1
77,Kaunertaler Gletscher,1
78,Dorfberg - Kartitsch,1
79,Bergeralm - Steinach,1
80,Stablein - Vent,1
81,Lämmerbichl-Rastkogel - Tux,1
82,Albonagrat - St. Anton,1
83,Elfer - Neustift,1
84,Krinnenalpe - Nesselwängle,0
85,Zettersfeld - Lienz,0
86,Hochstein - Lienz,0
87,Pitztaler Gletscher,0
88,Compedal - Assling,0
89,Praxmar - St. Sigmund i.S.,0
90,Lavenar - Pettneu,0
91,Kleinmutzkopf - Nauders,0
92,Venet - Zams - Fließ,0
93,Staller Sattel - St. Jakob in Defereggen,0
94,Medrigjoch - See ,0
95,Grünberg - Obsteig,0
96,Kelchsau - Hopfgarten i.B.,0
97,Sonnwendjoch - Kramsach,0
98,Hochkogel - Fieberbrunn,0
99,Rofanlifte - Steinberg,0
100,Sorgschrofen - Jungholz,0
101,Schattwald - Zöblen,0
102,Schattberg - Thiersee,0
103,Erweiterung Gletscherschigebiet - Verbindung Ötztal-Pitztal,0
