,resort,below_1800m_km,total_km
1,Stablein - Vent,0.0,11.9
2,Pitztaler Gletscher,0.0,75.2
3,Kaunertaler Gletscher,0.0,35.6
4,Kühtai,0.0,39.4
5,Albonagrat - St. Anton,0.0,6.4
6,Obergurgl,0.0,42.2
7,Lämmerbichl-Rastkogel - Tux,0.0,28.1
8,Staller Sattel - St. Jakob in Defereggen,0.0,5.5
9,Erweiterung Gletscherschigebiet - Verbindung Ötztal-Pitztal,0.0,1.9
10,Hochgurgl,0.2,42.0
11,Kreith-Katzenkopf - Leutasch,1.1,1.1
12,Grünberg - Obsteig,1.1,1.1
13,Oberau - Wildschönau,1.2,1.2
14,Stubaier Gletscher,1.4,81.5
15,Schneeberg - Thiersee,1.7,1.7
16,Compedal - Assling,1.8,1.8
17,Hausstattlift - Weerberg,2.0,2.0
18,Sonnwendjoch - Kramsach,2.0,2.0
19,Rofanlifte - Steinberg,2.1,2.1
20,Rifflsee - St. Leonhard ,3.5,19.5
21,Schattberg - Thiersee,3.7,3.7
22,Hochzeiger - Jerzens,4.4,41.9
23,Gaisberg - Kirchberg,4.5,4.5
24,Dorfberg - Kartitsch,5.0,5.3
25,Nordkette - Innsbruck,5.1,9.3
26,Hochpustertal,5.7,27.7
27,Brunnalm - St. Jakob in Defereggen,6.5,28.4
28,Jöchelspitze - Bach,6.6,6.6
29,Rendl - St. Anton a.A.,6.9,28.7
30,Hochötz,7.0,27.9
31,Serleslift - Mieders,7.4,7.4
32,Bichlalm - Kitzbühel,7.6,8.1
33,Birkhahn - Galtür,7.7,28.1
34,Gruberberg - Walchsee / Ebbs,7.8,7.8
35,Rofan - Eben,8.0,8.8
36,Fendels,8.1,12.9
37,Rangger Köpfl - Oberperfuß,8.1,10.7
38,Glungezer - Tulfes,8.4,15.8
39,Kellerjochbahn - Schwaz,8.5,8.9
40,Golzentipp - Obertilliach,8.7,24.5
41,Gerlossteinbahn,8.9,9.7
42,Hochimst,8.9,9.9
43,Gföllberglift - Holzgau,9.1,9.1
44,Mutterer Alm,9.4,9.4
45,Ahornbahn - Mayrhofen,9.4,14.9
46,Neunerköpfle - Tannheim,9.5,9.7
47,Goldried - Matrei/Osttirol,9.6,33.9
48,Spieljoch,9.9,16.3
49,Höfener Alm,10.0,11.3
50,Eggalm - Tux,10.4,19.9
51,Medrigjoch - See ,10.5,55.3
52,Gschwandtkopf,10.6,10.6
53,Reith i.A.,10.6,10.6
54,Steinplatte - Waidring,10.9,10.9
55,Füssener Jöchl - Schachenlifte,11.1,12.5
56,Kelchsau - Hopfgarten i.B.,11.4,11.4
57,Patscherkofel,11.5,15.0
58,Elfer - Neustift,12.5,15.9
59,Diasalpe - Kappl,12.9,85.4
60,Zugspitzbahn - Sonnenlift,13.7,13.7
61,Glocknerblick - Kals,14.1,20.5
62,Venet - Zams - Fließ,14.5,23.9
63,Schattwald - Zöblen,14.8,14.8
64,Hintertuxer Gletscher,15.1,169.2
65,Marienbergjoch,15.1,15.5
66,Unterberghorn - Kössen,17.7,17.7
67,Christlum - Achenkirch,18.1,18.1
68,Ötztaler Gletscher,18.4,224.1
69,Axamer Lizum,18.5,38.9
70,Ehrwalder Alm,20.1,23.1
71,Bergkastel - Tscheyeck - Nauders,20.7,120.7
72,Zwölferkopf - Eben,22.1,22.1
73,Bergeralm - Steinach,23.4,39.7
74,Buchensteinwand - St. Jakob / St. Ulrich,23.4,23.4
75,Grubigstein - Lermoos,24.2,31.1
76,Kitzbühler Horn,25.8,26.7
77,Penken,31.9,86.2
78,Schlick 2000,34.0,79.5
79,Silvretta Schiarena,35.8,351.2
80,Rosshütte - Härmelekopf,40.9,48.0
81,Albonagrat - St. Anton,43.6,114.0
82,Schatzberg - Wildschönau,52.8,60.9
83,Schi Zell - Kreuzjochbahn,58.3,190.7
84,Hochalm - Berwang - Bichlbach,64.2,64.2
85,Markbachjoch - Wildschönau,67.8,67.8
86,Streuböden - Fieberbrunn,68.5,77.3
87,Alpbach,76.3,96.6
88,Komperdell,88.4,412.4
89,Harschbichl - St. Johann i.T.,88.7,88.7
90,Hochzillertal - Kaltenbach - Aschau,96.1,246.0
91,Jochberg - Pass Thurn,98.7,136.6
92,"Choralm - Westendorf, Kandleralm - Brixen",108.3,110.9
93,Hahnenkamm - Ehrenbachhöhe,219.3,257.0
94,Schiwelt Wilder Kaiser - Brixental,413.7,414.8
