,resort,area_km2,on_mountain_venue_count,venue_density_per_km2
1,Neunerköpfle - Tannheim,1.4208657210964,5,3.52
2,Spieljoch,2.7680253252788636,9,3.25
3,Birkhahn - Galtür,2.5190067685230217,8,3.18
4,Hochimst,1.1230278086701655,3,2.67
5,Marienbergjoch,1.6144409197737895,4,2.48
6,Mutterer Alm,1.2131981649776182,3,2.47
7,Ötztaler Gletscher,25.5642097808681,61,2.39
8,Penken,8.787353897559,21,2.39
9,Obergurgl,4.636212094949401,11,2.37
10,Gschwandtkopf,2.178607669483826,5,2.3
11,Schatzberg - Wildschönau,3.3274651939320297,7,2.1
12,Ahornbahn - Mayrhofen,2.4436420270133756,5,2.05
13,Gaisberg - Kirchberg,1.4964171340045263,3,2.0
14,Streuböden - Fieberbrunn,6.557139652017132,13,1.98
15,Rangger Köpfl - Oberperfuß,2.090518764328715,4,1.91
16,Serleslift - Mieders,2.213174612811078,4,1.81
17,Patscherkofel,2.788446703710861,5,1.79
18,Eggalm - Tux,3.39705915923015,6,1.77
19,Goldried - Matrei/Osttirol,4.63242296700409,8,1.73
20,Axamer Lizum,4.744296526093538,8,1.69
21,Schiwelt Wilder Kaiser - Brixental,37.121905768373885,62,1.67
22,Albonagrat - St. Anton,16.84276044613484,28,1.66
23,Schi Zell - Kreuzjochbahn,14.731371179593241,24,1.63
24,Hochzillertal - Kaltenbach - Aschau,13.224684852276413,21,1.59
25,Glocknerblick - Kals,2.5663267343711644,4,1.56
26,Nordkette - Innsbruck,2.579777008281753,4,1.55
27,Golzentipp - Obertilliach,1.9508176784667932,3,1.54
28,Silvretta Schiarena,22.94320350611325,35,1.53
29,Höfener Alm,1.9570038706678567,3,1.53
30,Zugspitzbahn - Sonnenlift,1.9707944863602345,3,1.52
31,"Choralm - Westendorf, Kandleralm - Brixen",12.52297766896944,19,1.52
32,Glungezer - Tulfes,3.342200183770824,5,1.5
33,Gerlossteinbahn,2.685351590622508,4,1.49
34,Füssener Jöchl - Schachenlifte,2.0258486560714037,3,1.48
35,Zwölferkopf - Eben,2.039671613362557,3,1.47
36,Schlick 2000,4.843617837729915,7,1.45
37,Diasalpe - Kappl,5.556942451296402,8,1.44
38,Christlum - Achenkirch,2.843576953499852,4,1.41
39,Hahnenkamm - Ehrenbachhöhe,30.317279881075773,41,1.35
40,Komperdell,31.34679346028127,40,1.28
41,Rofan - Eben,1.6031672259170644,2,1.25
42,Markbachjoch - Wildschönau,5.058228353658416,6,1.19
43,Alpbach,5.177718013766295,6,1.16
44,Unterberghorn - Kössen,1.766639333120567,2,1.13
45,Bergkastel - Tscheyeck - Nauders,10.287520382643656,11,1.07
46,Harschbichl - St. Johann i.T.,8.732692062773237,9,1.03
47,Kitzbühler Horn,4.8679627309640265,5,1.03
48,Hochalm - Berwang - Bichlbach,5.942766495461282,6,1.01
49,Gruberberg - Walchsee / Ebbs,2.9790950516183186,3,1.01
50,Medrigjoch - See ,2.9955000710602886,3,1.0
51,Stubaier Gletscher,14.221225684139844,14,0.98
52,Hochgurgl,7.387042572888209,7,0.95
53,Hochpustertal,3.210755575374939,3,0.93
54,Ehrwalder Alm,4.3824346180680775,4,0.91
55,Rifflsee - St. Leonhard ,3.408974023209364,3,0.88
56,Hochötz,3.46485150216621,3,0.87
57,Jochberg - Pass Thurn,12.82279436786499,11,0.86
58,Buchensteinwand - St. Jakob / St. Ulrich,4.727610324988742,4,0.85
59,Grubigstein - Lermoos,6.034826821946906,5,0.83
60,Brunnalm - St. Jakob in Defereggen,3.8106876645058447,3,0.79
61,Rendl - St. Anton a.A.,5.066832963006147,4,0.79
62,Kühtai,6.703919440718033,5,0.75
63,Steinplatte - Waidring,1.5591798855951153,1,0.64
64,Fendels,3.489015519497004,2,0.57
65,Rosshütte - Härmelekopf,5.703465223205949,3,0.53
66,Stablein - Vent,1.9903146202821853,1,0.5
67,Bergeralm - Steinach,2.0086575341920474,1,0.5
68,Kellerjochbahn - Schwaz,2.046127764212048,1,0.49
69,Bichlalm - Kitzbühel,2.2451599234194686,1,0.45
70,Hintertuxer Gletscher,12.509143886747728,5,0.4
71,Hochzeiger - Jerzens,5.0171975684705155,2,0.4
72,Lämmerbichl-Rastkogel - Tux,4.044032388134578,1,0.25
73,Kaunertaler Gletscher,6.291829337736357,1,0.16
74,Albonagrat - St. Anton,16.84276044613484,1,0.06
75,Kleinmutzkopf - Nauders,1.5973155796396141,0,0.0
76,Zettersfeld - Lienz,3.0853223848856306,0,0.0
77,Hochstein - Lienz,1.9640391363343879,0,0.0
78,Krinnenalpe - Nesselwängle,1.176943138963581,0,0.0
79,Venet - Zams - Fließ,4.388210119031996,0,0.0
80,Pitztaler Gletscher,5.8630745515958305,0,0.0
81,Kelchsau - Hopfgarten i.B.,1.5033833526191087,0,0.0
82,Medrigjoch - See ,2.9955000710602886,0,0.0
83,Lavenar - Pettneu,1.488472711118439,0,0.0
84,Staller Sattel - St. Jakob in Defereggen,1.022546830498534,0,0.0
85,Schattwald - Zöblen,3.387621449660694,0,0.0
86,Hochkogel - Fieberbrunn,1.1391072344832123,0,0.0
87,Sonnwendjoch - Kramsach,2.8632742832725127,0,0.0
88,Erweiterung Gletscherschigebiet - Verbindung Ötztal-Pitztal,5.654475692586436,0,0.0
